titlePersian,titleEnglish,genre,CEFR,persian,english
واحه در بیابان,Desert Oases,science,A1,بیابان خیلی خشک است. در بیابان، باران کم است. اما گاهی در بیابان آب هست. این جا را واحه می‌گویند. در واحه، چشمه یا چاه هست. کنارِ آب، درخت و گیاه رشد می‌کند. بعضی وقت‌ها نخل هم هست. مردم و حیوان‌ها به واحه می‌آیند تا آب بخورند. واحه برای زندگی در بیابان خیلی مهم است.,"The desert is very dry. In the desert, there is little rain. But sometimes there is water in the desert. This place is called an oasis. In an oasis, there is a spring or a well. Near the water, trees and plants grow. Sometimes there are date palms too. People and animals come to the oasis to drink water. An oasis is very important for life in the desert."
منظومه‌ی شمسی,The Solar System,science,A1,منظومه‌ی شمسی درباره‌ی خورشید و سیاره‌ها است. خورشید خیلی بزرگ و خیلی داغ است. زمین یک سیاره است. ما روی زمین زندگی می‌کنیم. ماه دورِ زمین می‌چرخد. سیاره‌های دیگر هم در آسمان هستند. همه‌ی سیاره‌ها دورِ خورشید می‌چرخند. شب، ما آسمان را می‌بینیم. در آسمان، ستاره‌ها را می‌بینیم. گاهی ماه را هم می‌بینیم.,"The solar system is about the sun and the planets. The sun is very big and very hot. Earth is a planet. We live on Earth. The moon orbits Earth. Other planets are also in the sky. All the planets orbit the sun. At night, we see the sky. In the sky, we see the stars. Sometimes we also see the moon."
هوای امروز,Today's Weather,monologue,A1,امروز هوا خوب است. آسمان کمی ابری است. باد آرام است. هوا سرد نیست، اما گرم هم نیست. صبح کمی باران می‌آید. بعد از ظهر هوا بهتر می‌شود. من یک ژاکت می‌پوشم. من یک چتر هم می‌برم.,"Today the weather is good. The sky is a little cloudy. The wind is calm. It isn’t cold, but it isn’t warm either. In the morning, it rains a little. In the afternoon, the weather gets better. I wear a jacket. I also take an umbrella."
اولین تلاشِ آشپزیِ من,My First Cooking Attempt,monologue,A1,اولین بار که آشپزی کردم، در خانه تنها بودم. من می‌خواستم یک غذای ساده درست کنم. اول برنج را شستم و در قابلمه ریختم و آب اضافه کردم. بعد کمی نمک ریختم و قابلمه را روی گاز گذاشتم. من زیاد نگاه می‌کردم چون می‌ترسیدم برنج بسوزد. بعد از کمی وقت، آب کم شد و برنج نرم شد. من خوشحال شدم و برنج را در بشقاب گذاشتم. آن غذا خیلی ساده بود، اما برای من خیلی خوب بود چون خودم آن را درست کردم.,"The first time I cooked, I was alone at home. I wanted to make a simple meal. First I washed the rice, put it in a pot, and added water. Then I added a little salt and put the pot on the stove. I watched it a lot because I was afraid the rice would burn. After a little while, the water went down and the rice became soft. I was happy and put the rice on a plate. That food was very simple, but for me it was very good because I made it myself."
بازدید از آکواریوم,Visiting an Aquarium,monologue,A1,دیروز من به یک آکواریوم رفتم. من بلیت خریدم و وارد شدم. داخلِ آکواریوم تاریک بود و نورِ آبی داشت. من اول ماهی‌های کوچک را دیدم. آن‌ها سریع شنا می‌کردند و رنگ‌های قشنگ داشتند. بعد من یک کوسه را دیدم. کوسه بزرگ بود و آرام شنا می‌کرد. من هم عروسِ دریایی را دیدم. عروسِ دریایی نرم و سفید بود و آرام حرکت می‌کرد. من کنارِ یک شیشهٔ بزرگ ایستادم و مدتِ زیادی نگاه کردم. آخر، من از آکواریوم بیرون رفتم و خیلی خوشحال بودم.,"Yesterday I went to an aquarium. I bought a ticket and went in. Inside the aquarium it was dark and there was blue light. First I saw small fish. They swam fast and had pretty colors. Then I saw a shark. The shark was big and swam slowly. I also saw a jellyfish. The jellyfish was soft and white and moved slowly. I stood next to a big glass tank and watched for a long time. Finally, I left the aquarium and I was very happy."
بازدید از موزه,Visiting a Museum,monologue,A1,دیروز من به یک موزه رفتم. من بلیت خریدم و وارد شدم. داخلِ موزه آرام بود و مردم آهسته راه می‌رفتند. من اول تابلوهای نقاشی را دیدم. بعضی تابلوها خیلی قدیمی بودند و رنگ‌های زیبا داشتند. بعد من مجسمه‌ها را دیدم. یک مجسمه خیلی بزرگ بود و من از آن عکس گرفتم. در یک اتاق، چیزهای قدیمی مثل سکه و ظرف هم بود. من کنارِ هر چیز کمی می‌ایستادم و نگاه می‌کردم. بعد از یک ساعت، خسته شدم و بیرون رفتم، اما از بازدید خوشحال بودم.,"Yesterday I went to a museum. I bought a ticket and went in. Inside the museum it was quiet and people walked slowly. First I saw paintings. Some paintings were very old and had beautiful colors. Then I saw statues. One statue was very big and I took a photo of it. In one room, there were old things like coins and dishes too. I stopped next to each thing for a little and looked. After one hour, I got tired and went out, but I was happy with the visit."
روزِ اول در کارِ جدید,The First Day at a New Job,monologue,A1,روزِ اول در کارِ جدید برای من مهم است. من صبح زود بیدار می‌شوم و لباسِ تمیز می‌پوشم. بعد صبحانه می‌خورم و از خانه بیرون می‌روم. وقتی به محلِ کار می‌رسم، کمی استرس دارم. من به دفتر می‌روم و به همکاران سلام می‌کنم. یک نفر به من نشان می‌دهد که کجا بنشینم. بعد مدیر با من صحبت می‌کند و کارهای ساده را توضیح می‌دهد. من گوش می‌دهم و سؤال‌های کوتاه می‌پرسم. در پایانِ روز، من خسته هستم، اما خوشحال هستم چون روزِ اول تمام شد.,"The first day at a new job is important for me. I wake up early in the morning and put on clean clothes. Then I eat breakfast and leave the house. When I arrive at work, I feel a little stressed. I go to the office and say hello to my coworkers. Someone shows me where to sit. Then the manager talks with me and explains simple tasks. I listen and ask short questions. At the end of the day, I am tired, but I am happy because the first day is over."
سرگرمیِ موردِ علاقهٔ من,My Favorite Hobby,monologue,A1,سرگرمیِ موردِ علاقهٔ من آشپزی است. من دوست دارم در خانه غذا درست کنم. من معمولاً برنج و مرغ می‌پزم و گاهی سوپ درست می‌کنم. من سبزی‌ها را می‌شویم و خرد می‌کنم و بعد با غذا می‌پزم. آشپزی برای من آرامش دارد و بویِ غذا در خانه خوب است. وقتی وقت دارم، یک غذای جدید هم امتحان می‌کنم. بعد از آشپزی، من از خوردنِ غذای خودم خوشحال می‌شوم.,"My favorite hobby is cooking. I like to make food at home. I usually cook rice and chicken, and sometimes I make soup. I wash vegetables and chop them, and then I cook them with the food. Cooking is relaxing for me, and the smell of food at home is nice. When I have time, I also try a new dish. After cooking, I feel happy eating my own food."
غذایِ موردِ علاقهٔ من,My Favorite Food,monologue,A1,غذایِ موردِ علاقهٔ من مرغ است. من مرغ را خیلی دوست دارم چون خوشمزه است و سیرم می‌کند. من معمولاً مرغ را در ماهیتابه می‌پزم و کمی نمک و فلفل می‌زنم. گاهی با مرغ برنج می‌خورم و گاهی با سیب‌زمینی. وقتی خسته هستم، مرغِ ساده درست می‌کنم چون سریع آماده می‌شود. من دوست دارم مرغ را با پیاز هم بپزم چون بویِ خوبی دارد. برای من، مرغ بهترین غذا است و همیشه از آن لذت می‌برم.,"My favorite food is chicken. I really like chicken because it is tasty and it makes me feel full. I usually cook chicken in a pan and add a little salt and pepper. Sometimes I eat rice with chicken and sometimes potatoes. When I am tired, I make simple chicken because it gets ready quickly. I also like to cook chicken with onion because it smells good. For me, chicken is the best food, and I always enjoy it."
قارچ,Mushrooms,food,A1,قارچ یک غذا است و در جنگل یا مزرعه رشد می‌کند. قارچ مثلِ گیاه نیست و دانه ندارد. قارچ از خاک و چیزهای قدیمیِ زمین غذا می‌گیرد و آب زیادی دارد. بعضی قارچ‌ها سمی هستند، پس قارچِ فروشگاه برای خوردن امن‌تر است. قارچ را می‌شویند و خرد می‌کنند و با پیاز در ماهیتابه می‌پزند. قارچ با تخم‌مرغ و برنج هم خوب است. قارچ کمی پروتئین و ویتامین دارد و وقتی پخته می‌شود بویِ خوب می‌دهد.,"Mushrooms are a food and they grow in a forest or on a farm. Mushrooms are not like plants and they do not have seeds. Mushrooms take food from the soil and old things in the ground, and they have a lot of water. Some mushrooms are poisonous, so store-bought mushrooms are safer to eat. Mushrooms are washed and chopped and cooked with onion in a pan. Mushrooms are also good with eggs and rice. Mushrooms have a little protein and vitamins, and when they are cooked they smell good."
محلهٔ من,My Neighborhood,monologue,A1,محلهٔ من آرام است. در محلهٔ من خانه‌ها و آپارتمان‌ها زیاد است. نزدیکِ خانهٔ من یک فروشگاه هست و من گاهی برای خرید آنجا می‌روم. در محلهٔ من یک پارک هم هست و مردم آنجا راه می‌روند. صبح‌ها من آدم‌های زیادی را می‌بینم که به کار می‌روند. بعضی وقت‌ها بچه‌ها در خیابان بازی می‌کنند. من این محله را دوست دارم چون امن است و رفت‌وآمد آسان است. وقتی هوا خوب است، من در محله قدم می‌زنم و از اطراف لذت می‌برم.,"My neighborhood is quiet. In my neighborhood there are many houses and apartments. Near my home there is a store and sometimes I go there to shop. In my neighborhood there is also a park and people walk there. In the mornings I see many people going to work. Sometimes children play in the street. I like this neighborhood because it is safe and getting around is easy. When the weather is good, I walk in the neighborhood and enjoy the surroundings."
حیواناتِ خانگیِ من,My Pets,monologue,A1,من دو حیوانِ خانگی دارم. یکی یک گربه است و یکی یک سگ است. گربهٔ من کوچک و آرام است و خیلی می‌خوابد. سگِ من بازیگوش است و هر روز دوست دارد بیرون برود. من هر روز به آن‌ها آب و غذا می‌دهم. گاهی با سگِ من در پارک قدم می‌زنم. گربهٔ من دوست دارد کنارِ من بنشیند و نوازش شود. من حیواناتِ خانگیِ خودم را خیلی دوست دارم چون خانه را شاد می‌کنند.,I have two pets. One is a cat and one is a dog. My cat is small and calm and sleeps a lot. My dog is playful and every day it likes to go outside. Every day I give them water and food. Sometimes I walk with my dog in the park. My cat likes to sit next to me and be petted. I really like my pets because they make the home happy.
رفت‌وآمدِ صبحِ من,My Morning Commute,monologue,A1,هر صبح من از خانه بیرون می‌روم و به محلِ کار می‌روم. من صبح زود بیدار می‌شوم و بعد قهوه می‌خورم. بعد لباس می‌پوشم و کیفم را برمی‌دارم. من معمولاً با مترو می‌روم. من به ایستگاه می‌روم و منتظر می‌مانم. وقتی مترو می‌آید، سوار می‌شوم و می‌نشینم. در راه، مردم را می‌بینم و گاهی موسیقی گوش می‌کنم. بعد در ایستگاهِ نزدیکِ محلِ کار پیاده می‌شوم و کمی پیاده‌روی می‌کنم. وقتی به محلِ کار می‌رسم، روزِ من شروع می‌شود.,"Every morning I leave home and go to work. I wake up early and then I drink coffee. Then I get dressed and take my bag. I usually go by metro. I go to the station and wait. When the metro comes, I get on and sit down. On the way, I see people and sometimes I listen to music. Then I get off at the station near work and walk a little. When I arrive at work, my day begins."
بستنِ چمدان برای سفر,Packing for a Vacation,monologue,A1,وقتی می‌خواهم به سفر بروم، من یک چمدان می‌آورم و آن را روی زمین می‌گذارم. اول لباس‌ها را آماده می‌کنم. من چند تی‌شرت، یک شلوار، جوراب، و لباسِ زیر برمی‌دارم. اگر هوا سرد باشد، یک ژاکت هم می‌گذارم. بعد مسواک و خمیرِ دندان و شامپو را در یک کیفِ کوچک می‌گذارم. من گوشی و شارژر را هم برمی‌دارم چون لازم است. من پاسپورت و پول را در جایِ امن می‌گذارم. آخر، چمدان را می‌بندم و مطمئن می‌شوم همه چیز آماده است.,"When I want to go on vacation, I bring a suitcase and put it on the floor. First I prepare my clothes. I take a few T-shirts, one pair of pants, socks, and underwear. If the weather is cold, I also pack a jacket. Then I put my toothbrush, toothpaste, and shampoo in a small bag. I also take my phone and charger because they are necessary. I put my passport and money in a safe place. Finally, I close the suitcase and make sure everything is ready."
درِ مخفی,The Secret Door,monologue,A1,یک روز در خانه، یک درِ کوچک می‌بینم که قبلاً ندیده بودم. آن در پشتِ یک پرده است و خیلی آرام بسته است. من نزدیک می‌روم و دستگیره را لمس می‌کنم. در قفل نیست، پس آن را آرام باز می‌کنم. پشتِ در یک راهروی باریک است و نورِ کمی دارد. من چند قدم می‌روم و یک اتاقِ کوچک پیدا می‌کنم. در آن اتاق یک میز و یک چراغ هست. روی میز یک کلید و یک نامه است. من نامه را می‌خوانم و می‌فهمم این در سال‌ها پنهان بوده است. من تعجب می‌کنم و فکر می‌کنم چرا این در اینجا بوده است.,"One day at home, I see a small door that I had not seen before. That door is behind a curtain and it is closed very quietly. I go closer and touch the handle. The door is not locked, so I open it slowly. Behind the door there is a narrow hallway and it has little light. I walk a few steps and find a small room. In that room there is a table and a lamp. On the table there is a key and a letter. I read the letter and understand that this door has been hidden for years. I am surprised and I think about why this door has been here."
,A Day at an Amusement Park,monologue,A1,,
,A Day at the Zoo,monologue,A1,,
,A Day in the Countryside,monologue,A1,,
,Asking for Directions,dialogue,A1,,
,Asking for Help at the Airport,dialogue,A1,,
,Asking for Wi-Fi Access,dialogue,A1,,
,At the Dentist,dialogue,A1,,
,Booking a Hotel Room,dialogue,A1,,
,Checking into a Hotel,dialogue,A1,,
,Cleaning My Room,monologue,A1,,
,Costa del Sol,travel,A1,,
,Dangerous Aspects of Social Media,technology,A1,,
,Discussing an Allergy,dialogue,A1,,
,Do Animals Have Personalities?,psychology,A1,,
,First Aid Kits,health,A1,,
,Flying Cars,science fiction,A1,,
,Getting a Haircut,dialogue,A1,,
,Is Breakfast Important?,health,A1,,
,Learning New Vocabulary,monologue,A1,,
,Life on Mars,science fiction,A1,,
,Magnets in Everyday Life,technology,A1,,
,Metropolis,science fiction,A1,,
,My Morning Routine,monologue,A1,,
,Nocturnal Animals,science,A1,,
,Ordering Ice Cream,dialogue,A1,,
,Patatas bravas,food,A1,,
,Shopping for Edible Souvenirs,dialogue,A1,,
,Shopping for Groceries,monologue,A1,,
,Simple Tips for Better Sleep,health,A1,,
,Spirited Away,fantasy,A1,,
,Staying Active Indoors,health,A1,,
,Sushi,food,A1,,
,The Airport Security Check,dialogue,A1,,
,The Bakery,dialogue,A1,,
,The Beach,dialogue,A1,,
,The Bookstore,dialogue,A1,,
,The Campsite,dialogue,A1,,
,The Cat Cafe,dialogue,A1,,
,The Convenience Store,dialogue,A1,,
,The Cursed Mirror,horror,A1,,
,The Doctor's Office,dialogue,A1,,
,The Electronics Store,dialogue,A1,,
,The Hidden Treasure,monologue,A1,,
,The Movie Theater,dialogue,A1,,
,The Pharmacy,dialogue,A1,,
,The Taxi,dialogue,A1,,
,The Terrible Date,dialogue,A1,,
,The Train Station,dialogue,A1,,
,The Viking Age,history,A1,,
,Trapped Inside,horror,A1,,
,Typically Iranian,culture,A1,,
,What is Kindness?,psychology,A1,,
,What is Wi-Fi?,technology,A1,,
,Why Do Animals Make Us Happy?,psychology,A1,,
,Why Plants Need Sunlight,science,A1,,
,A Day at the Library,monologue,A2,,
,A Dinner for Two,dialogue,A2,,
,Albert Einstein,biography,A2,,
,Artificial Intelligence,technology,A2,,
,Barcelona,travel,A2,,
,Blue Whales,science,A2,,
,Budget Travel Tips,travel,A2,,
,Buying Souvenirs,dialogue,A2,,
,Capsule Hotels,travel,A2,,
,Catalan,language,A2,,
,City Parks,travel,A2,,
,Comfort Food,food,A2,,
,Compasses,technology,A2,,
,Conveyor Belt Sushi,food,A2,,
,Córdoba,travel,A2,,
,Dinosaurs,science,A2,,
,Don Quixote,drama,A2,,
,Exploring a Forest,monologue,A2,,
,Exploring Paris,monologue,A2,,
,Formal Hebrew,language,A2,,
,Gazpacho,food,A2,,
,George Orwell,biography,A2,,
,GPS,technology,A2,,
,Guernica,culture,A2,,
,Hibernation,science,A2,,
,Homage to Catalonia,history,A2,,
,How Colors Affect Emotions,psychology,A2,,
,How Stars Are Born,science,A2,,
,Indian Spices,food,A2,,
,Instant Ramen,food,A2,,
,Intergalactic Communication,science fiction,A2,,
,Israeli Breakfast,food,A2,,
,Israeli Dinner,food,A2,,
,Israeli Lunch,food,A2,,
,January in Israel,culture,A2,,
,June in Israel,culture,A2,,
,Ladino,language,A2,,
,London,travel,A2,,
,Madrid,travel,A2,,
,May in Israel,culture,A2,,
,Miguel de Cervantes,biography,A2,,
,October in Israel,culture,A2,,
,Pablo Picasso,biography,A2,,
,Paella,food,A2,,
,People-Watching in a Train Station,monologue,A2,,
,Pizza,food,A2,,
,Political Parties in Israel,politics,A2,,
,Preparing for an Exam,monologue,A2,,
,Recycling,technology,A2,,
,Regional Differences in Spanish,language,A2,,
,Rome,travel,A2,,
,Sagrada Família,culture,A2,,
,Salvador Dalí,biography,A2,,
,Self-Driving Cars,technology,A2,,
,Seoul,travel,A2,,
,September in Israel,culture,A2,,
,Shopping for Clothes,dialogue,A2,,
,Simple Pleasures,monologue,A2,,
,Smart Homes,technology,A2,,
,Solar Power in Spain,technology,A2,,
,Street Food,food,A2,,
,Symbolism in Everyday Objects,drama,A2,,
,Tapas,food,A2,,
,The Beatles,culture,A2,,
,The Grand Canyon,travel,A2,,
,The Great Wall of China,travel,A2,,
,The Lost Wallet,dialogue,A2,,
,The Mediterranean Diet,health,A2,,
,The Old City of Jerusalem,travel,A2,,
,The Post Office,dialogue,A2,,
,The Restaurant,dialogue,A2,,
,The Role of Luck in History,history,A2,,
,The Zombie,horror,A2,,
,Traveling Alone in Israel,monologue,A2,,
,Utopias and Dystopias,drama,A2,,
,Volcanoes,science,A2,,
,Weekend Plans,dialogue,A2,,
,Why the Sky is Blue,science,A2,,
,Why We Dream,psychology,A2,,
,Yiddish,language,A2,,
,A Song of Ice and Fire,fantasy,B1,,
,Animal Crossing,culture,B1,,
,Antiheroes,drama,B1,,
,April in Israel,culture,B1,,
,Atomic Habits,psychology,B1,,
,August in Israel,culture,B1,,
,Berlin,travel,B1,,
,Biohacking,health,B1,,
,Bioluminescent Animals,science,B1,,
,Birth Order Theory,psychology,B1,,
,Blue Zones,health,B1,,
,Buddhism,philosophy,B1,,
,Clichés,drama,B1,,
,Climate Change,science,B1,,
,Complaining About a Service,dialogue,B1,,
,Confessions of a Bored Vampire,monologue,B1,,
,Cooking in a Hostel Kitchen,monologue,B1,,
,Dead Languages,language,B1,,
,December in Israel,culture,B1,,
,Democracy in Ancient Athens,history,B1,,
,Digital Detoxes,health,B1,,
,Domestication,science,B1,,
,Dracula,horror,B1,,
,February in Israel,culture,B1,,
,Flavor Pairing,food,B1,,
,Frankenstein,horror,B1,,
,Fungi,science,B1,,
,Game Design,technology,B1,,
,Handling a Disagreement,dialogue,B1,,
,Hannah Arendt,biography,B1,,
,Impostor Syndrome,psychology,B1,,
,Introducing Myself,monologue,B1,,
,July in Israel,culture,B1,,
,Learning a New Language,monologue,B1,,
,Liminality,drama,B1,,
,Magic Wands,fantasy,B1,,
,Making Friends While Traveling,travel,B1,,
,March in Israel,culture,B1,,
,Minimalism,philosophy,B1,,
,Nintendo,culture,B1,,
,November in Israel,culture,B1,,
,Oslo,travel,B1,,
,Planning a Day of Adventure,monologue,B1,,
,Public Transit Maps,travel,B1,,
,Regret,psychology,B1,,
,Secret Passageways,fantasy,B1,,
,Smart Cities,technology,B1,,
,Social Anxiety,psychology,B1,,
,Stoicism,philosophy,B1,,
,Stories Within Stories,drama,B1,,
,Superfoods,health,B1,,
,Sustainable Seafood,food,B1,,
,Tactile Learning,psychology,B1,,
,The Airport Check-In,dialogue,B1,,
,The Basics of Coding,technology,B1,,
,The Berlin Wall,history,B1,,
,The Big Bang Theory,science,B1,,
,The Currency Exchange,dialogue,B1,,
,The Dunning–Kruger Effect,psychology,B1,,
,The Hero’s Journey,fantasy,B1,,
,The History of Maps,history,B1,,
,The Industrial Revolution,history,B1,,
,The Psychology of Happiness,psychology,B1,,
,The Renaissance,history,B1,,
,The Secret Energy of Plants,science,B1,,
,The Shining,horror,B1,,
,The Small Choices That Shape Us,dialogue,B1,,
,The Spanish Inquisition,history,B1,,
,The Three-Body Problem,science fiction,B1,,
,The Truman Show,drama,B1,,
,The Wizard of Oz,fantasy,B1,,
,Tiny Homes,culture,B1,,
,Tragic Flaws in Literature,drama,B1,,
,Tropes,drama,B1,,
,Unlikely Alliances in History,history,B1,,
,Unusual Modes of Transportation,travel,B1,,
,Vaccines,health,B1,,
,Viruses,science,B1,,
,"Wicked, Part I",fantasy,B1,,
,"Wicked, Part II",fantasy,B1,,
,Writing Systems,language,B1,,
,AI and Medicine,technology,B2,,
,Alternate History,fantasy,B2,,
,Ancient Rome,history,B2,,
,Animal Rights,philosophy,B2,,
,Artificial Intelligence in Fiction,science fiction,B2,,
,Atheism,philosophy,B2,,
,Black Holes,science,B2,,
,Book Burnings,history,B2,,
,Cashless Societies,technology,B2,,
,Christianity,philosophy,B2,,
,Circadian Rhythms,health,B2,,
,Cognitive Biases,psychology,B2,,
,Conspiracy Theories,psychology,B2,,
,Craving Versus Longing,psychology,B2,,
,Cyberpunk,science fiction,B2,,
,Digital Nomads,culture,B2,,
,Dreams as a Narrative Devices,drama,B2,,
,Dualities in Characters,drama,B2,,
,Eternal Sunshine of the Spotless Mind,drama,B2,,
,Ethical Consumerism,philosophy,B2,,
,Exoplanets,science,B2,,
