titleHebrew,titleEnglish,genre,CEFR,hebrew,english,hebrewNoNiqqud
נִקָּיוֹן הַחֶדֶר שֶׁלִּי,Cleaning My Room,monologue,A1,"הַיּוֹם אֲנִי מְנַקָּה אֶת הַחֶדֶר שֶׁלִּי.
הַחֶדֶר שֶׁלִּי מְאוֹד מְבֻלְגָּן.
יֵשׁ כְּסָאוֹת עַל הַכִּסֵּא.
יֵשׁ סְפָרִים עַל הַרִצְפָּה.
אֲנִי מְסַדֶּרֶת אֶת הַבְּגָדִים.
אֲנִי שָׂמָה סְפָרִים עַל הַשֻּׁלְחָן.
אֲנִי שָׂמָה נַעֲלַיִם בָּאֲרוֹן.
עַכְשָׁיו הַחֶדֶר נָקִי.
עַכְשָׁיו אֲנִי שְׂמֵחָה.","Today I am cleaning my room.
My room is very messy.
There are clothes on the chair.
There are books on the floor.
I am arranging the clothes.
I put books on the table.
I put shoes in the closet.
Now the room is clean.
Now I am happy.","היום אני מנקה את החדר שלי.
החדר שלי מאוד מבלגן.
יש כסאות על הכסא.
יש ספרים על הרצפה.
אני מסדרת את הבגדים.
אני שמה ספרים על השלחן.
אני שמה נעלים בארון.
עכשיו החדר נקי.
עכשיו אני שמחה."
קוֹסְטָה דֶּל סוֹל,Costa del Sol,travel,A1,,,
הֶבְטֵי סִכּוּן שֶׁל רֶשֶׁת הַחֶבְרָתִית,Dangerous Aspects of Social Media,technology,A1,,,
נְאוֹת מִדְבָּר,Desert Oases,science,A1,"בַּמִּדְבָּר יֵשׁ מְקוֹמוֹת מְיֻחָדִים שֶׁנִּקְרָאִים נְאוֹת מִדְבָּר.
בַּנָּאוֶה יֵשׁ מַיִם, עֵצִים וְצִפֳּרִים.
הָאֲנָשִׁים עוֹצְרִים בַּנָּאוֶה כְּדֵי לִשְׁתּוֹת מַיִם וְלָנוּחַ.
זֶה מָקוֹם יָפֶה וְשֶׁקֶט בְּתוֹךְ הַחּוֹל וְהָחֹם.","In the desert there are special places called oases.
In an oasis there is water, trees, and birds.
People stop at the oasis to drink water and rest.
It is a beautiful and quiet place in the middle of the sand and the heat.","במדבר יש מקומות מיחדים שנקראים נאות מדבר.
בנאוה יש מים, עצים וצפרים.
האנשים עוצרים בנאוה כדי לשתות מים ולנוח.
זה מקום יפה ושקט בתוך החול והחם."
דִּיּוּן עַל אַלֶּרְגִּיָּה,Discussing an Allergy,dialogue,A1,,,
הַאִם לַחַיּוֹת יֵשׁ אִישִׁיּוּת?,Do Animals Have Personalities?,psychology,A1,,,
רַעֲשֵׁי אֲדָמָה,Earthquakes,science,A1,"רַעַשׁ אֲדָמָה הוּא תְּנוּעָה חֲזָקָה שֶׁל הָאֲדָמָה. כְּשֶׁהָאֲדָמָה זוֹזָה, הַבָּתִּים רוֹעֲדִים. אֲנָשִׁים רָצִים לַחוּץ וּמְחַפְּשִׂים מָקוֹם בָּטוּחַ. רַעַשׁ אֲדָמָה יָכוֹל לִהְיוֹת קָצָר אוֹ אָרוֹךְ. בַּסּוֹף הָאֲדָמָה נִרְגַּעַת, וְהָאֲנָשִׁים חוֹזְרִים לְבָתֵּיהֶם.","An earthquake is a strong movement of the ground. When the ground moves, the houses shake. People run outside and look for a safe place. An earthquake can be short or long. In the end, the ground becomes calm, and the people return to their homes.","רעש אדמה הוא תנועה חזקה של האדמה. כשהאדמה זוזה, הבתים רועדים. אנשים רצים לחוץ ומחפשים מקום בטוח. רעש אדמה יכול להיות קצר או ארוך. בסוף האדמה נרגעת, והאנשים חוזרים לבתיהם."
עֲרוּכוֹת עֶזְרָה רִאשׁוֹנָה,First Aid Kits,health,A1,,,
מְכוֹנוֹת טִיסָה,Flying Cars,science fiction,A1,בֶּעָתִיד יֵשׁ מְכוֹנוֹת שֶׁעוֹפוֹת בַּשָּׁמַיִם. הַמְּכוֹנִית עוֹלָה מֵהָאֲדָמָה וְטָסָה כְּמוֹ מָטוֹס קָטָן. אֲנָשִׁים נוֹסְעִים בַּמְּכוֹנִית וְרוֹאִים אֶת הָעִיר מִלְמַעְלָה. הַדֶּרֶךְ קְצָרָה וְהַנְּסִיעָה מְהֵירָה. זֶה חֲלוֹם גָּדוֹל שֶׁיִּתָּכֵן בֶּעָתִיד.,In the future there will be cars that fly in the sky. The car goes up from the ground and flies like a small airplane. People travel in the car and see the city from above. The road is short and the ride is fast. It is a big dream that may happen in the future.,בעתיד יש מכונות שעופות בשמים. המכונית עולה מהאדמה וטסה כמו מטוס קטן. אנשים נוסעים במכונית ורואים את העיר מלמעלה. הדרך קצרה והנסיעה מהירה. זה חלום גדול שיתכן בעתיד.
תִּסְפֹּרֶת,Getting a Haircut,dialogue,A1,,,
תְּזוּנָה בָּרִיאָה,Healthy Eating,health,A1,"אֲנִי אוֹהֵב לֶאֱכוֹל אוֹכֶל בָּרִיא.
בַּבֹּקֶר אֲנִי אוֹכֵל לֶחֶם וּפֵרוֹת.
בַּצָּהֳרַיִם אֲנִי אוֹכֵל אוֹפֶה וְסָלָט.
בָּעֶרֶב אֲנִי שׁוֹתֶה מַיִם וְאוֹכֵל יָרָקוֹת.
אוֹכֶל בָּרִיא עוֹזֵר לִי לְהַרְגִּישׁ טוֹב.","I like to eat healthy food.
In the morning I eat bread and fruit.
At noon I eat chicken and salad.
In the evening I drink water and eat vegetables.
Healthy food helps me feel good.",אני אוהב לאכול אוכל בריא. בבקר אני אוכל לחם ופרות. בצהרים אני אוכל אופה וסלט. בערב אני שותה מים ואוכל ירקות. אוכל בריא עוזר לי להרגיש טוב.
הַאִם אֲרוּחַת בֹּקֶר חֲשׁוּבָה?,Is Breakfast Important?,health,A1,,,
לִמּוּד אֹצֶר מִלִּים חָדָשׁ,Learning New Vocabulary,monologue,A1,"שְׁמִי מִרְיָם. אֲנִי לוֹמֶדֶת עִבְרִית כִּי אֲנִי רוֹצָה לְדַבֵּר עִם חֲבֵרוֹת. כָּל יוֹם אֲנִי לוֹמֶדֶת מִלָּה חֲדָשָׁה. אֲנִי כּוֹתֶבֶת אֶת הַמִּלָּה בַּפֶּנְקָס, וַאֲנִי אוֹמֶרֶת אוֹתָהּ רַבּוֹת פְּעָמִים. כָּךְ אֲנִי זוֹכֶרֶת. כְּשֶׁאֲנִי מַכִּירָה מִלּוֹת חֲדָשׁוֹת, אֲנִי שְׂמֵחָה.","My name is Miriam. I am learning Hebrew because I want to speak with friends. Every day I learn a new word. I write the word in a notebook, and I say it many times. This way I remember. When I know new words, I am happy.","שמי מרים. אני לומדת עברית כי אני רוצה לדבר עם חברות. כל יום אני לומדת מלה חדשה. אני כותבת את המלה בפנקס, ואני אומרת אותה רבות פעמים. כך אני זוכרת. כשאני מכירה מלות חדשות, אני שמחה."
חַיִּים עַל מַאְדִּים,Life on Mars,science fiction,A1,,,
מַגְנֵטִים בַּחַיִּים הַיּוֹמְיוּמִיִּים,Magnets in Everyday Life,technology,A1,הַמַּגְנֵט הוּא חָפֵץ קָטָן וּמְיֻחָד. אֲנַחְנוּ רוֹאִים מַגְנֵטִים בַּבַּיִת וּבַכִּתָּה. מַגְנֵט מַחֲזִיק נְיָרוֹת עַל הַמְּקָרֵר. יֵשׁ מַגְנֵטִים בַּצַּעֲצוּעִים שֶׁל יְלָדִים. מַגְנֵט עוֹזֵר לָנוּ לִמְצֹא דְּבָרִים מִבַּרְזֶל. הַמַּגְנֵט פָּשׁוּט אֲבָל מְאֹד שִׁמּוּשִׁי.,The magnet is a small and special object. We see magnets at home and in the classroom. A magnet holds papers on the refrigerator. There are magnets in children’s toys. A magnet helps us find things made of metal. The magnet is simple but very useful.,המגנט הוא חפץ קטן ומיחד. אנחנו רואים מגנטים בבית ובכתה. מגנט מחזיק נירות על המקרר. יש מגנטים בצעצועים של ילדים. מגנט עוזר לנו למצא דברים מברזל. המגנט פשוט אבל מאד שמושי.
מֵטְרוֹפּוֹלִין,Metropolis,science fiction,A1,,,
פִּטְרִיּוֹת,Mushrooms,food,A1,,,
הַכִּתָּה שֶׁלִּי,My Classroom,monologue,A1,"זֹאת הַכִּתָּה שֶׁלִּי.
בַּכִּתָּה יֵשׁ שֻׁלְחָן וְכִסֵּא.
יֵשׁ גַּם לוּחַ גָּדוֹל.
בַּכִּתָּה יֵשׁ מוֹרָה וְיֵשׁ תַּלְמִידוֹת וְתַלְמִידִים.
אֲנִי יוֹשֶׁבֶת עַל הַכִּסֵּא.
אֲנִי רוֹאֲה אֶת הַכִּתָּה.
הַכִּתָּה יָפָה וַאֲנִי שְׂמֵחָה.","This is my classroom.
In the classroom there is a table and a chair.
There is also a big board.
In the classroom there is a teacher and there are female and male students.
I am sitting on the chair.
I see the classroom.
The classroom is beautiful and I am happy.","זאת הכתה שלי.
בכתה יש שלחן וכסא.
יש גם לוח גדול.
בכתה יש מורה ויש תלמידות ותלמידים.
אני יושבת על הכסא.
אני רואה את הכתה.
הכתה יפה ואני שמחה."
הָעִיר הָאֲהוּבָה עָלַי,My Favorite City,monologue,A1,"הָעִיר הָאַהוּבָה עָלַי הִיא תֵּל אָבִיב. אֲנִי אוֹהֵב אֶת תֵּל אָבִיב כִּי יֵשׁ בָּהּ חוֹף יָפֶה. בַּקַּיִץ אֲנִי הוֹלֵךְ לַיָּם עִם חֲבֵרִים, וַאֲנַחְנוּ שָׂמֵחַ. בָּעִיר יֵשׁ גַּם כַּמָּה גַּנִּים יָפִים, וַאֲנִי אוֹהֵב לָלֶכֶת שָׁם בַּעֶרֶב.

תֵּל אָבִיב הִיא גַּם עִיר גְּדוֹלָה. יֵשׁ בָּהּ רַבּוֹת מִסְעָדוֹת וַחֲנוּיּוֹת. אֲנִי אוֹהֵב לֶאֱכוֹל פִּיצָּה וְגַם גְּלִידָה. הָאֲנָשִׁים בָּעִיר חֲבֵרִים וְאֲנִי מַרְגִּישׁ בַּבַּיִת.

בְּעִיר שֶׁלִּי יֵשׁ חַיִּים שְׂמֵחִים וְאֲנִי רוֹצֶה לָגוּר שָׁם גַּם בַּעֲתִיד.","My favorite city is Tel Aviv. I love Tel Aviv because it has a beautiful beach. In the summer I go to the sea with friends, and we are happy. In the city there are also some beautiful gardens, and I like to walk there in the evening. Tel Aviv is also a big city. It has many restaurants and shops. I like to eat pizza and also ice cream. The people in the city are friendly, and I feel at home. In my city there is a happy life, and I want to live there also in the future.","העיר האהובה עלי היא תל אביב. אני אוהב את תל אביב כי יש בה חוף יפה. בקיץ אני הולך לים עם חברים, ואנחנו שמח. בעיר יש גם כמה גנים יפים, ואני אוהב ללכת שם בערב.

תל אביב היא גם עיר גדולה. יש בה רבות מסעדות וחנויות. אני אוהב לאכול פיצה וגם גלידה. האנשים בעיר חברים ואני מרגיש בבית.

בעיר שלי יש חיים שמחים ואני רוצה לגור שם גם בעתיד."
הָאֹכֶל הָאֲהוּב עָלַי,My Favorite Food,monologue,A1,,,
הַתַּחְבִּיב הָאֲהוּב עָלַי,My Favorite Hobby,monologue,A1,,,
נִסָּיוֹן הַבִּשּׁוּל הָרִאשׁוֹן שֶׁלִּי,My First Cooking Attempt,monologue,A1,,,
הַבַּיִת שֶׁלִּי,My Home,monologue,A1,"בֵּיתִי קָטָן וְנָעִים. יֵשׁ בַּבַּיִת סָלוֹן, מִטְבָּח וּשְׁתֵּי חֲדָרִים. הַסָּלוֹן אוֹרֵחַ וְיֵשׁ בּוֹ סַפְסָל וְשֻׁלְחָן קָטָן. הַמִּטְבָּח פָּשׁוּט אֲבָל נוֹחַ. יֵשׁ לִי חֶדֶר שֵׁנָה וַחֲדַר עֲבוֹדָה. אֲנִי אוֹהֶבֶת אֶת הַבַּיִת שֶׁלִּי.","My home is small and pleasant. The house has a living room, a kitchen, and two rooms. The living room is bright and has a couch and a small table. The kitchen is simple but comfortable. I have a bedroom and a study. I love my home.","ביתי קטן ונעים. יש בבית סלון, מטבח ושתי חדרים. הסלון אורח ויש בו ספסל ושלחן קטן. המטבח פשוט אבל נוח. יש לי חדר שנה וחדר עבודה. אני אוהבת את הבית שלי."
הַנְּסִיעָה הַיּוֹמִית שֶׁלִּי,My Morning Commute,monologue,A1,,,
שִׁגְרַת הַבֹּקֶר שֶׁלִּי,My Morning Routine,monologue,A1,,,
הַשְּׁכוּנָה שֶׁלִּי,My Neighborhood,monologue,A1,"שְׁכֻנָּה שֶׁלִּי קְטַנָּה וְיָפָה.
יֵשׁ בָּהּ בַּיִת סֵפֶר, חֲנוּת קְטַנָּה וּגַּן יְלָדִים.
אֲנִי אוֹהֶבֶת לָלֶכֶת בָּרֶגֶל לַגַּן הַיָּפֶה.
בַּשְּׁכֻנָּה יֵשׁ גַּם כֶּלֶב גָּדוֹל שֶׁכֻּלָּם מַכִּירִים.
הַשְּׁכֻנָּה שֶׁלִּי שֶׁקֶט וְנָעִים לָגוּר בָּהּ.","My neighborhood is small and pretty.
It has a school, a small shop, and a kindergarten.
I like to walk to the beautiful garden.
In the neighborhood there is also a big dog that everyone knows.
My neighborhood is quiet and pleasant to live in.","שכנה שלי קטנה ויפה.
יש בה בית ספר, חנות קטנה וגן ילדים.
אני אוהבת ללכת ברגל לגן היפה.
בשכנה יש גם כלב גדול שכלם מכירים.
השכנה שלי שקט ונעים לגור בה."
הַחֲיוֹת הַמְחַמָּדוֹת שֶׁלִּי,My Pets,monologue,A1,,,
לֵיל שְׁנַת הַחֲדָשָׁה בְּיִשְׂרָאֵל,New Year's Eve in Israel,culture,A1,"בְּיִשְׂרָאֵל חוֹגְגִים אֶת סִילְבֶסְטֶר בְּלֵיל שְׁנַת הַחֲדָשָׁה. בָּעָרִים הַגְּדוֹלוֹת יֵשׁ מְסִבּוֹת וּמַסְעָדוֹת פְּתוּחוֹת. הָאֲנָשִׁים לוֹבְשִׁים בְּגָדִים יָפִים וְשָׂמֵחִים עִם חֲבֵרִים. בַּחֲצוֹת לַיְלָה הַכֻּלָּם סוֹפְרִים יַחַד: עֶשֶׂר, תֵּשַׁע, שְׁמוֹנֶה… וּמְבָרְכִים זֶה אֶת זֶה בְּ“שָׁנָה טוֹבָה!”. יֵשׁ גַּם כְּלֵי זִמְרָה, מוּזִיקָה, וּפְעָמִים זִקּוּקִין. הַיֶּלֶדִים רוֹאִים אֶת הַזִּקּוּקִין וְשָׂמֵחִים מְאֹד. זֶה לַיְלָה מְיֻחָד בְּיִשְׂרָאֵל.","In Israel, people celebrate Sylvester, New Year’s Eve. In the big cities there are parties and open restaurants. People wear nice clothes and are happy with friends. At midnight everyone counts together: ten, nine, eight… and wish each other “Happy New Year!”. There are also instruments, music, and sometimes fireworks. The children watch the fireworks and are very happy. It is a special night in Israel.","בישראל חוגגים את סילבסטר בליל שנת החדשה. בערים הגדולות יש מסבות ומסעדות פתוחות. האנשים לובשים בגדים יפים ושמחים עם חברים. בחצות לילה הכלם סופרים יחד: עשר, תשע, שמונה… ומברכים זה את זה ב“שנה טובה!”. יש גם כלי זמרה, מוזיקה, ופעמים זקוקין. הילדים רואים את הזקוקין ושמחים מאד. זה לילה מיחד בישראל."
חַיּוֹת לֵילִיוֹת,Nocturnal Animals,science,A1,,,
הַזְמָנַת גְּלִידָה,Ordering Ice Cream,dialogue,A1,,,
אֲרִיזָה לַחֲגֻגָּה,Packing for a Vacation,monologue,A1,"אֲנִי רוֹצָה לִסְעוֹד לַחֲגִיגָה.
אֲנִי צוֹרֶכֶת לֶאֱרוֹז מִזְוָדָה.
בַּמִּזְוָדָה יֵשׁ חֲלוּקוֹת, חֲצָאִיּוֹת וּבְגָדִים נוֹחִים.
אֲנִי שָׂמָה גַּם נַעֲלַיִם.
יֵשׁ לִי סְפָרִים קְטַנִּים לִקְרוֹא.
אֲנִי לוֹקַחַת מַיִם וּמַצְפֵּה לַיָּמִים שֶׁל מְנוּחָה.
אֲנִי מְאוֹד שְׂמֵחָה לָצֵאת לַחֲפָשָׁה.","I want to travel for vacation.
I need to pack a suitcase.
In the suitcase there are shirts, skirts, and comfortable clothes.
I also put shoes.
I have small books to read.
I take water and look forward to days of rest.
I am very happy to go on vacation.","אני רוצה לסעוד לחגיגה.
אני צורכת לארוז מזודה.
במזודה יש חלוקות, חצאיות ובגדים נוחים.
אני שמה גם נעלים.
יש לי ספרים קטנים לקרוא.
אני לוקחת מים ומצפה לימים של מנוחה.
אני מאוד שמחה לצאת לחפשה."
פַּטַּטַס בְּרָבַּאס,Patatas bravas,food,A1,,,
מַעֲרֶכֶת פּוֹלִיטִית שֶׁל הָעוֹלָם,Political Systems of the World,politics,A1,"בָּעוֹלָם יֵשׁ מַעֲרָכוֹת פּוֹלִיטִיּוֹת שׁוֹנוֹת. יֵשׁ מְדִינוֹת שֶׁבָּהֶן מֶלֶךְ אוֹ מַלְכָּה. הַמֶּלֶךְ הוּא רֹאשׁ הַמְּדִינָה. יֵשׁ מְדִינוֹת אַחֵרוֹת שֶׁבָּהֶן יֵשׁ נָשִׂיא אוֹ רָאשׁ מֶמְשָׁלָה. הֵם מַנְהִיגִים אֶת הָעָם. בְּכָל מְדִינָה הָעָם בּוֹחֵר מַנְהִיגִים בְּבְחִירוֹת. הַבְּחִירוֹת חֲשׁוּבוֹת כִּי הֵן נוֹתְנוֹת לָעָם קוֹל וְכֹחַ. בְּחֵלֶק מֵהַמְּדִינוֹת הָעָם יָכוֹל לְדַבֵּר בְּחֹפֶשׁ, וּבְחֵלֶק אַחֵר לֹא. כָּל מְדִינָה בּוֹחֶרֶת דֶּרֶךְ שֶׁלָּהּ.","In the world there are different political systems.
There are countries where there is a king or a queen.
The king is the head of the state.
There are other countries where there is a president or a prime minister.
They lead the people.
In every country, the people choose leaders in elections.
The elections are important because they give the people a voice and power.
In some countries, the people can speak freely, and in others, not.
Every country chooses its own way.","בעולם יש מערכות פוליטיות שונות. יש מדינות שבהן מלך או מלכה. המלך הוא ראש המדינה. יש מדינות אחרות שבהן יש נשיא או ראש ממשלה. הם מנהיגים את העם. בכל מדינה העם בוחר מנהיגים בבחירות. הבחירות חשובות כי הן נותנות לעם קול וכח. בחלק מהמדינות העם יכול לדבר בחפש, ובחלק אחר לא. כל מדינה בוחרת דרך שלה."
קְנִיַּת מַזְכָּרוֹת אֲכִילִים,Shopping for Edible Souvenirs,dialogue,A1,,,
קְנִיַּת מַצְרוֹכִים,Shopping for Groceries,monologue,A1,,,
עֵצוֹת פְּשׁוּטוֹת לְשֵׁנָה טוֹבָה יוֹתֵר,Simple Tips for Better Sleep,health,A1,"שֵׁנָה טוֹבָה עוֹזֶרֶת לָנוּ לִהְיוֹת חֲזָקִים וּשְׂמֵחִים. כְּדֵי לִישׁוֹן יָפֶה, טוֹב לִכְבּוֹת אֶת הַטֵּלֵפוֹן לִפְנֵי הַשֵּׁנָה. יֵשׁ לָשֶׁבֶת רֶגַע בְּשֶׁקֶט וְלִקְרוֹא סֵפֶר קָטָן. כָּדַאי לִשְׁתּוֹת מַיִם חַמִּים אוֹ חָלָב חַם. חֲדַר שֶׁקֶט וְחֹשֶׁךְ עוֹזֵר גַּם הוּא לִישׁוֹן יָפֶה.","Good sleep helps us be strong and happy. To sleep well, it’s good to turn off the phone before bed. Sit quietly for a moment and read a small book. It’s good to drink warm water or warm milk. A quiet and dark room also helps to sleep well.","שנה טובה עוזרת לנו להיות חזקים ושמחים. כדי לישון יפה, טוב לכבות את הטלפון לפני השנה. יש לשבת רגע בשקט ולקרוא ספר קטן. כדאי לשתות מים חמים או חלב חם. חדר שקט וחשך עוזר גם הוא לישון יפה."
רְחוֹק מֵהַעֲלוּם,Spirited Away,fantasy,A1,,,
הִשָּׁאֲרוּת פְּעִילִים בְּתוֹךְ הַבַּיִת,Staying Active Indoors,health,A1,,,
סוּשִׁי,Sushi,food,A1,"אֲנִי אוֹהֵב לֶאֱכוֹל סוּשִׁי.
הַסּוּשִׁי יֵשׁ בּוֹ אוֹרֶז וְדָג.
יֵשׁ סוּשִׁי עִם יְרָקוֹת גַּם כֵּן.
בְּתֵיאָטְרוֹן אֲנִי אוֹכֵל פִּיצָּה, וּבְמִסְעָדָה אֲנִי אוֹכֵל סוּשִׁי.
הַסּוּשִׁי טָעִים וַאֲנִי שָׂמֵחַ לֶאֱכוֹל אוֹתוֹ.","I like to eat sushi.
The sushi has rice and fish.
There is also sushi with vegetables.
At the theater I eat pizza, and at the restaurant I eat sushi.
The sushi is tasty and I am happy to eat it.","אני אוהב לאכול סושי. הסושי יש בו אורז ודג. יש סושי עם ירקות גם כן. בתיאטרון אני אוכל פיצה, ובמסעדה אני אוכל סושי. הסושי טעים ואני שמח לאכול אותו."
בְּדִיקַת הַבִּטָּחוֹן בַּשְּׂדֵה הַתְּעוּפָה,The Airport Security Check,dialogue,A1,,,
הַמַּאֲפִיָּה,The Bakery,dialogue,A1,,,
הַחוֹף,The Beach,dialogue,A1,,,
חֲנוּת הַסְּפָרִים,The Bookstore,dialogue,A1,,,
הַחֲנִיָּה לַמַּחֲנוֹת,The Campsite,dialogue,A1,,,
בֵּית־קָפֶה לַחֲתוּלִים,The Cat Cafe,dialogue,A1,,,
חֲנוּת הַנֹּחַ,The Convenience Store,dialogue,A1,,,
הַמַּרְאָה הַמְקֻלֶּלֶת,The Cursed Mirror,horror,A1,,,
מִשְׂרַד הָרוֹפֵא,The Doctor's Office,dialogue,A1,,,
חֲנוּת הַאֶלֶקְטְרוֹנִיקָה,The Electronics Store,dialogue,A1,,,
