English,CEFR,gender,word,wordAudio,pronunciation,definition,sentenceAudio,example,sentenceTranslation,To Delete,Duplicate?
"ease, convenience",B1,noun,آسانی,X,âsâni,راحت بودنِ انجامِ کار,X,با این برنامه‌ریزی، کارها با آسانی بیشتری پیش می‌رود.,"With this planning, things go more smoothly.",,
sky,A1,noun,آسمان,X,âsmân,فضای بالایِ سرِ ما که در روز آبی دیده می‌شود,X,آسمان آبی است.,The sky is blue.,,
"cook, chef",A2,noun,آشپز,X,âšpaz,کسی که غذا درست می‌کند,X,آشپز در رستوران کار می‌کند.,The cook works in the restaurant.,,
kitchen,B1,noun,آشپزخانه‌ای,X,âšpaz-xâne,اتاقی برای پختنِ غذا,X,برای خانهٔ جدید چند وسیلهٔ آشپزخانه‌ای لازم داریم.,For the new house we need a few kitchen items.,,
Africa,A1,noun,آفریقا,X,âfriġâ,قاره‌ای بزرگ در جنوبِ اروپا,X,آفریقا یک قارهٔ بزرگ است.,Africa is a big continent.,,
South Africa,A2,noun,آفریقای جنوبی,X,âfriqâ-ye jonubi,کشوری در جنوبِ قارهٔ آفریقا,X,آفریقای جنوبی کشور بزرگی است.,South Africa is a big country.,,
August,A1,noun,آگوست,X,âgost,ماهِ هشتمِ سالِ میلادی,X,آگوست ماهِ هشتِ سال است.,August is the eighth month of the year.,,
Germany,A1,noun,آلمان,X,âlmân,کشوری در مرکزِ اروپا,X,آلمان در اروپا است.,Germany is in Europe.,,
German,A1,adjective,آلمانی,X,âlmâni,مربوط به کشورِ آلمان یا زبانِ آن,X,او زبان آلمانی را بلد است.,He knows the German language.,,
pollution,B1,noun,آلودگی,X,âludegi,کثیفیِ هوا یا آب,X,دود کارخانه‌ها باعث افزایش آلودگی هوای شهرهای بزرگ شده است.,The smoke from factories has increased the air pollution in big cities.,,
pollute,B1,verb,آلودن,X,âludan,کثیف کردنِ محیط,X,ما نباید با ریختن زباله، آب رودخانه را بیالاییم (آلوده کنیم).,We shouldn't pollute the river by throwing garbage.,,
ready,A1,adjective,آماده,X,âmâde,آماده برای شروع یا رفتن,X,من آماده‌ام.,I am ready.,,
"come, arrive",A1,verb,آمدن,X,âmadan,رسیدن به یک جا,X,من الان می‌آیم.,I’m coming now.,,
America,A1,noun,آمریکا,X,âmrikâ,کشوری بزرگ در آمریکای شمالی,X,آمریکا یک کشور بزرگ است.,America is a big country.,,
South America,A2,noun,آمریکای جنوبی,X,âmrikâ-ye jonubi,قاره‌ای در جنوبِ آمریکا,X,آمریکای جنوبی هم بزرگ است.,South America is big too.,,
North America,A2,noun,آمریکای شمالی,X,âmrikâ-ye šomâli,قاره‌ای در شمالِ آمریکا,X,آمریکای شمالی بزرگ است.,North America is big.,,
Central America,B1,noun,آمریکای مرکزی,X,âmrikâ-ye markazi,بخشِ میانیِ قارهٔ آمریکا,X,آمریکای مرکزی چند کشور کوچک و گرم دارد.,"Central America has several small, warm countries.",,
education,B1,noun,آموزش,X,âmuzeš,فرآیندِ یاد دادنِ دانش یا مهارتی به دیگران,X,سیستم آموزش در این کشور به گونه‌ای است که دانش‌آموزان علاوه بر تئوری، مهارت‌های عملی را هم یاد می‌گیرند.,The education system in this country is such that students learn practical skills in addition to theory.,,
that,A1,adjective,آن,X,ân,اشاره به چیز یا نفر دور,X,آن صندلی برای مهمان است.,That chair is for guests.,,
there,A1,adverb,آنجا,X,ânjâ,در محل دور از اینجا,X,توالت آنجا، کنار حمام است.,"The toilet is there, next to the bathroom.",,
"so, that",B1,adverb,آن‌قدر,X,ânqadr,به اندازه‌ای که نتیجهٔ مشخصی داشته باشد,X,آن‌قدر خندیدم که چشم‌هایم اشک افتاد.,I laughed so much that my eyes filled with tears.,,
they,A1,pronoun,آن‌ها,X,ân-hâ,ضمیر برای چند نفر یا چند چیز,X,آن‌ها با هم به خانه می‌آیند.,They come home together.,,
"slow, quiet",A2,adjective,آهسته,X,âheste,با سرعتِ کم,X,لطفاً آهسته صحبت کن.,Please speak slowly.,,
iron,A2,noun,آهن,X,âhan,فلزی سفت که زنگ می‌زند,X,این در از آهن است.,This door is made of iron.,,
"song, voice",A2,noun,آواز,X,âvâz,صدای آهنگین با کلمات,X,من آواز او را دوست دارم.,I like his singing.,,
sing,A2,verb,آواز خواندن,X,âvâz xândan,با آهنگ و صدا شعر یا ترانه خواندن,X,او در حمام آواز می‌خواند.,He sings in the bathroom.,,
bring,A2,verb,آوردن,X,âvardan,چیزی را با خود به اینجا رساندن,X,می‌توانی یک لیوان آب برای من بیاوری؟,Can you bring me a glass of water?,,
April,A1,noun,آوریل,X,âvril,ماهِ چهارمِ سالِ میلادی,X,آوریل ماهِ چهار است.,April is the fourth month.,,
avocado,A2,noun,آووکادو,X,âvokâdo,میوهٔ سبز با پوستِ کلفت,X,برای صبحانه آووکادو می‌خورم.,I eat avocado for breakfast.,,
hang,B1,verb,آویزان کردن,X,âvizân kardan,چیزی را از بالا آویزان کردن,X,کت‌ام را پشت در آویزان کردم.,I hung my coat behind the door.,,
ayatollah,B2,noun,آیت‌الله,X,âyato-l-lâh,روحانیِ بلندپایه در تشیع,X,آیت‌الله در پیامش به مسائل فقهی و سیاسی هم‌زمان اشاره کرد.,"In his message, the ayatollah referred to religious and political issues at the same time.",,
future,B1,noun,آینده,X,âyande,زمانی که هنوز نیامده است و بعداً اتفاق می‌افتد,X,هیچ‌کس نمی‌تواند با اطمینان بگوید که در آینده چه اتفاقی می‌افتد، اما می‌توانیم برای آن برنامه‌ریزی کنیم.,"No one can say with certainty what will happen in the future, but we can plan for it.",,
verse,B2,noun,آیه,X,âye,بخش کوتاه از متن قرآن,X,این آیه دربارهٔ بخشش است و در نماز هم زیاد خوانده می‌شود.,This verse is about forgiveness and is also read often in prayer.,,
mirror,A1,noun,آیینه,X,âyine,شیشه‌ای که تصویرِ صورت را نشان می‌دهد,X,آیینه روی دیوارِ حمام است.,The mirror is on the bathroom wall.,,
cloud,A1,noun,ابر,X,abr,توده‌ای سفید یا خاکستری در آسمان,X,ابر جلوی خورشید است.,A cloud is in front of the sun.,,
superpower,B2,noun,ابرقدرت,X,abarqodrat,کشوری با نفوذ سیاسی و نظامی بسیار زیاد,X,وقتی یک ابرقدرت تحریم می‌گذارد، اقتصادِ کشورِ هدف فوراً تحت فشار می‌رود.,"When a superpower imposes sanctions, the target country’s economy immediately comes under pressure.",,
supernova,C,noun,ابرنواختر,X,abar-now-axtar,انفجارِ بسیار درخشانِ پایانِ یک ستاره,X,ابرنواختر گاهی پایانِ یک ستاره است، اما برای اخترشناسی آغازِ داده‌های تازه.,"A supernova is sometimes the end of a star, but for astronomy it is the start of new data.",,
silk,B1,noun,ابریشم,X,"abrišam, abrišom",نخِ طبیعی و گران‌بها,X,این پارچه بسیار نرم و گران‌بها است چون از ابریشم خالص تهیه شده است.,This fabric is very soft and expensive because it is made of pure silk.,,
room,A1,noun,اتاق,X,otâq,بخشی جدا در خانه با دیوار و در,X,در این اتاق یک چراغ هست.,There is a lamp in this room.,,
bedroom,A1,noun,اتاق خواب,X,otâq-e xâb,جایی در خانه برای خوابیدن,X,اتاق خواب جایِ خواب است.,A bedroom is a place for sleeping.,,
living room,A1,noun,اتاق نشیمن,X,otâġ-e nešiman,جایی در خانه برای نشستن و استراحت,X,در اتاق نشیمن یک مبل هست.,There is a sofa in the living room.,,
Austria,A2,noun,اتریش,X,otriš,کشوری در اروپا,X,اتریش در اروپا است.,Austria is in Europe.,,
atom,B2,noun,اتم,X,atom,کوچک‌ترین واحدِ سازندهٔ ماده,X,اتم کوچک‌ترین بخشِ یک عنصر نیست، اما برای فهم بسیاری از پدیده‌ها نقطهٔ شروع خوبی است.,"An atom isn’t the smallest part of an element, but it’s a good starting point for understanding many phenomena.",,
atomic,B2,adjective,اتمی,X,atomi,مربوط به اتم,X,بحث دربارهٔ انرژی اتمی می‌تواند هم علمی باشد و هم سیاسی.,Discussion about nuclear energy can be both scientific and political.,,
bus,A1,noun,اتوبوس,X,otobus,وسیلهٔ نقلیهٔ عمومی برای جابه‌جایی در شهر,X,اتوبوس به اسلو می‌رود.,The bus goes to Oslo.,,
"trace, sign, mark, effect, impact",B2,noun,اثر,X,asar,نتیجه یا پیامدِ یک کار,X,اثرِ این تصمیم تا سال‌ها در زندگیِ مردم می‌ماند.,The impact of this decision will remain in people’s lives for years.,,
stove,A1,noun,اجاق,X,ojâq,دستگاهی که برای پختنِ غذا گرما تولید می‌کند,X,اجاق روشن است.,The stove is on.,,
stove,A2,noun,اجاق‌گاز,X,ojâq-gâz,وسیله‌ی آشپزی که با سوختِ گاز کار می‌کند,X,کتری را روی اجاق‌گاز بگذار تا آب برای چای جوش بیاید.,Put the kettle on the stove so the water boils for tea.,,
respect,B1,noun,احترام,X,ehterâm,رفتارِ مؤدبانه با دیگران,X,احترام گذاشتن به دیگران کار سختی نیست، اما خیلی‌ها یادشان می‌رود.,"Respecting others isn’t hard, but many people forget.",,
respectful,B2,adjective,احترامی,X,ehtarami,نشان‌دهندهٔ احترام,X,در جلسه، با یک لحن احترامی مخالفت کرد تا بحث به دعوا نکشد.,"In the meeting, he disagreed in a respectful tone so the discussion wouldn’t turn into a fight.",,
"feeling, emotion",B1,noun,احساس,X,ehsâs,حالتِ درونیِ دل,X,بعد از آن حرف‌ها یک احساس بد در من ماند.,"After those words, a bad feeling stayed with me.",,
"feel, sense",B1,verb,احساس کردن,X,ehsâs kardan,حس کردنِ یک حالت یا پیام,X,وقتی وارد اتاق شدم، احساس کردم که همه به من نگاه می‌کنند.,"When I entered the room, I felt that everyone was looking at me.",,
idiotic,B1,adjective,احمق,X,ahmaġ,بسیار نادان و بی‌فکر,X,این تصمیم احمق بود و همه را به دردسر انداخت.,This decision was stupid and got everyone into trouble.,,
idiot,B1,noun,احمق,X,ahmaġ,شخصِ بسیار نادان,X,به او نگفت احمق، فقط گفت باید بیشتر فکر کنی.,"He didn’t call him an idiot, he just said you should think more.",,
star,B2,noun,اختر,X,axtar,ستاره,X,در شعر قدیمی، «اختر» نمادِ امید در شب‌های تاریک است.,"In old poetry, a star is a symbol of hope in dark nights.",,
post office,A1,noun,اداره پست,X,edâre-ye post,جایی برای فرستادن و گرفتن نامه و بسته,X,بسته را به اداره پست می‌برم.,I take the package to the post office.,,
duck,A2,noun,اردک,X,ordak,پرنده‌ای که شنا می‌کند,X,در پارک یک اردک دیدم.,I saw a duck in the park.,,
"cheap, inexpensive",A2,adjective,ارزان,X,arzân,ارزشِ کم و قیمتِ پایین,X,این مغازه ارزان است.,This shop is cheap.,,
Europe,A1,noun,اروپا,X,orupâ,قاره‌ای در غربِ آسیا,X,اروپا یک قاره است.,Europe is a continent.,,
European,A2,adjective,اروپایی,X,orupâyi,مربوط به اروپا,X,او یک شهروند اروپایی است.,He is a European citizen.,,
"from, of",A1,preposition,از,X,az,حرف اضافه برای نشان دادن مبدأ یا جدا شدن,X,من از تهران می‌آیم.,I’m coming from Tehran.,,
"through, via, by means of",B1,preposition,از طریق,X,az tariq-e,حرفِ اضافه برای نشان دادنِ مسیر یا راه,X,از طریق اینترنت می‌توانی فرم را پر کنی و بفرستی.,Through the internet you can fill out the form and send it.,,
horse,A2,noun,اسب,X,asb,حیوانی بزرگ برای سواری,X,اسب سفید سریع می‌دود.,The white horse runs fast.,,
toy,A1,noun,اسباب بازی,X,asbâb bâzi,چیزی برای سرگرمیِ کودک,X,این اسباب بازی وقتی دکمه‌اش را می‌زنم صدا می‌دهد.,This toy makes a sound when I press its button.,,
Spain,A1,noun,اسپانیا,X,espâniyâ,کشوری در جنوبِ اروپا,X,اسپانیا در اروپا است.,Spain is in Europe.,,
Spanish,A1,adjective,اسپانیایی,X,espâniyâyi,مربوط به کشورِ اسپانیا یا زبانِ آن,X,او اسپانیایی است و اسپانیایی حرف می‌زند.,He is Spanish and speaks Spanish.,,
"employment, hiring",B2,noun,استخدام,X,estexdâm,فرآیندِ پذیرشِ نیرو در یک سازمان,X,فرآیند استخدام در این سازمان دولتی بسیار پیچیده است.,The recruitment process in this government organization is very complicated.,,
"pool, swimming pool",A2,noun,استخر,X,estaxr,جایی پر از آب برای شنا,X,تابستان‌ها به استخر می‌روم.,In summer I go to the pool.,,
bone,A2,noun,استخوان,X,ostoxân,چیزی سفت در بدن که بدن را نگه می‌دارد,X,سگ یک استخوان پیدا کرد.,The dog found a bone.,,
relaxation,A2,noun,استراحت,X,esterâhat,زمان برای آرام شدن و خوابیدن,X,بعد از کار به استراحت نیاز دارم.,"After work, I need to rest.",,
rest,A2,verb,استراحت کردن,X,esterâhat kardan,کمی خوابیدن یا آرام بودن برای بهتر شدن,X,امروز کمی استراحت می‌کنم.,Today I rest a little.,,
use,B1,noun,استفاده,X,estefâde,به کار بردنِ یک چیز برای هدف,X,از این برنامه استفادهٔ زیادی می‌کنم.,I use this app a lot.,,
use,B1,verb,استفاده کردن,X,estefâde kardan,به کار بردنِ یک چیز برای هدف,X,من هر روز از مترو استفاده می‌کنم.,I use the metro every day.,,
Estonian,B2,adjective,استونیایی,X,estuniyâyi,مربوط به استونی,X,من با چند همکار استونیایی کار کرده‌ام و از نظم و دقتشان در پروژه‌ها خوشم می‌آید.,"I have worked with a few Estonian colleagues, and I like their orderliness and precision in projects.",,
myth,B2,noun,اسطوره,X,osture,داستان کهنِ خیالی که نسل‌به‌نسل نقل می‌شود,X,آن داستان برای مردم اسطوره شد، چون نسل‌به‌نسل تعریفش کردند.,That story became a myth for people because it was told generation after generation.,,
mythology,C,noun,اسطوره‌شناسی,X,osture-šenâsi,مطالعهٔ روایت‌های کهن و نمادهای فرهنگی,X,اسطوره‌شناسی مرزِ خیال و تاریخ را نشان می‌دهد، نه این‌که یکی را حذف کند.,"Mythology shows the boundary between imagination and history, not that it removes one.",,
spinach,A2,noun,اسفناج,X,esfenâj,سبزیِ سبز که در غذا می‌پزند,X,من امروز اسفناج می‌خورم.,Today I eat spinach.,,
sponge,A2,noun,اسفنج,X,esfanj,وسیله‌ای نرم برای شستن,X,من با یک اسفنج خیس، ظرف‌های کثیف را تمیز می‌کنم.,I am cleaning the dirty dishes with a wet sponge.,,
Scotland,A2,noun,اسکاتلند,X,eskâtland,کشوری در شمالِ بریتانیا,X,اسکاتلند جای قشنگی است.,Scotland is a pretty place.,,
Scandinavia,B1,noun,اسکاندیناوی,X,eskândinâvi,منطقه‌ای در شمالِ اروپا,X,اسکاندیناوی برای طبیعت و زمستان‌های طولانی‌اش معروف است.,Scandinavia is known for its nature and its long winters.,,
skeleton,B2,noun,اسکلت,X,eskelet,مجموعه‌ی استخوان‌های بدن,X,در آزمایشگاه زیست‌شناسی، یک اسکلت کامل انسان برای مطالعه استخوان‌ها وجود دارد.,"In the biology laboratory, there is a complete human skeleton for bone study.",,
ski,A2,noun,اسکی,X,eski,ورزشِ روی برف با کفشِ مخصوص,X,من در زمستان اسکی دوست دارم.,In winter I like skiing.,,
ski,A2,verb,اسکی کردن,X,eski kardan,روی برف با کفشِ مخصوص حرکت کردن,X,آخر هفته با دوستانم اسکی می‌کنم.,On the weekend I ski with my friends.,,
Islam,A2,noun,اسلام,X,eslâm,دینِ پیامبرِ محمد,X,اسلام دین بزرگی است.,Islam is a great religion.,,
Islamist,C,noun,اسلام‌گرا,X,eslâm-garâ,کسی که ایدئولوژی سیاسیِ دینی را دنبال می‌کند,X,اسلام‌گرا در این گزارش فقط یک برچسب سیاسی نیست؛ به شبکه و برنامه هم اشاره دارد.,"In this report, Islamist is not just a political label, it also refers to a network and a plan.",,
Islamism,C,noun,اسلام‌گرایی,X,eslâm-garâyi,ایدئولوژی سیاسی مبتنی بر دین,X,اسلام‌گرایی در این متن به‌عنوان ایدئولوژیِ دولت‌ساز تعریف شده است، نه صرفاً دینداری.,"In this text, Islamism is defined as a state-building ideology, not merely religiosity.",,
Islamic,B1,adjective,اسلامی,X,eslâmi,مربوط به دینِ اسلام,X,او معماری اسلامی را دوست دارد و هر بار به مسجد نگاه می‌کند، جزئیات تازه‌ای می‌بیند.,"He likes Islamic architecture, and every time he looks at the mosque, he notices new details.",,
Oslo,A1,noun,اسلو,X,oslo,پایتختِ نروژ,X,من در اسلو زندگی می‌کنم.,I live in Oslo.,,
name,A2,noun,اسم,X,esm,کلمه‌ای که به یک نفر می‌گویند,X,اسم او رضا است.,His name is Reza.,,
sign,B1,noun,اشاره,X,ešâre,علامت یا حرکت برای رساندنِ پیام,X,با یک اشاره فهمیدم که باید ساکت بمانم.,"With a single gesture, I understood that I needed to stay quiet.",,
point,B1,verb,اشاره کردن,X,ešâre kardan,با دست یا نگاه جهت را نشان دادن,X,او به نقشه اشاره کرد تا مسیر را نشان بدهد.,He pointed at the map to show the route.,,
"mistake, fault, error",A2,noun,اشتباه,X,eštebâh,کارِ غلط که نتیجهٔ بد می‌دهد,X,من یک اشتباه کوچک کردم.,I made a small mistake.,,
"wrong, erroneous",A2,adjective,اشتباهی,X,eštebâhi,دارای خطا و درست نبودن,X,این جواب اشتباهی است.,This answer is wrong.,,
tear,B1,noun,اشک,X,ašk,مایعِ شوری که هنگامِ غم یا شوق از چشم می‌آید,X,او آن‌قدر غمگین بود که وقتی نامه را خواند، یک قطره اشک از گوشه چشمش روی کاغذ افتاد.,"He was so sad that when he read the letter, a drop of tear fell from the corner of his eye onto the paper.",,
information,A2,noun,اطلاعات,X,ettelâ'ât,چیزهایی که دربارهٔ یک موضوع می‌دانیم,X,من به اطلاعات بیشتر نیاز دارم.,I need more information.,,
credit,B1,noun,اعتبار,X,e'tebâr,ارزش مالی در حساب,X,حساب بانکی من اعتبار کافی برای خرید این لپ‌تاپ گران را ندارد.,My bank account doesn't have enough credit to buy this expensive laptop.,,
often,A2,adverb,اغلب,X,aġlab,در خیلی وقت‌ها,X,من اغلب دیر می‌خوابم.,I often go to sleep late.,,
opening,B2,noun,افتتاح,X,eftetâh,مراسم آغازِ رسمیِ یک کار یا مکان,X,افتتاح نمایشگاه به‌خاطر تأخیر در حمل آثار یک هفته عقب افتاد و همهٔ برنامه‌ها تغییر کرد.,"The opening of the exhibition was postponed by one week because of a delay in transporting the works, and all the plans changed.",,
ocean,A2,noun,اقیانوس,X,oġyânus,دریای بسیار بزرگ,X,اقیانوس خیلی بزرگ است.,The ocean is very big.,,
October,A1,noun,اکتبر,X,oktobr,ماهِ دهمِ سالِ میلادی,X,اکتبر ماهِ ده است.,October is the tenth month.,,
if,A2,conjunction,اگر,X,agar,برای شرط گذاشتن,X,اگر باران بیاید، نمی‌رویم.,"If it rains, we will not go.",,
now,A1,adverb,الان,X,alân,در همین لحظه,X,الان وقتِ ناهار است.,Now it’s lunchtime.,,
alphabet,A2,noun,الفبا,X,alefbâ,حروفِ یک زبان,X,من الفبای فارسی را یاد می‌گیرم.,I am learning the Persian alphabet.,,
electronics,B2,noun,الکترونیک,X,elekteronik,شاخه‌ای مربوط به دستگاه‌ها و مدارهای برقی,X,در رشتهٔ الکترونیک، طراحیِ مدارهای دقیق اهمیت زیادی دارد.,"In electronics, designing precise circuits is very important.",,
electronic,B2,adjective,الکترونیکی,X,elekteroniki,مربوط به دستگاه‌ها و مدارهای برقی,X,امضای الکترونیکی را با کاغذبازی اشتباه نگیر.,Don’t confuse an electronic signature with paperwork.,,
God,A2,noun,الله,X,allâh,نامِ خدا در عربی,X,الله یکتا است.,Allah is one.,,
today,A1,noun,امروز,X,emruz,روزِ همین تاریخ,X,امروز چهارشنبه است.,Today is Wednesday.,,
tonight,A1,adverb,امشب,X,emšab,در شبِ امروز,X,امشب زود می‌خوابم چون فردا کار دارم.,Tonight I’ll sleep early because I have work tomorrow.,,
sign,A2,verb,"امضاء کردن, امضا کردن",X,emzâ' kardan,نوشتن نام برای تایید,X,شما باید زیر این نامه را برای تایید امضاء کنید.,You need to sign the bottom of this letter to confirm.,,
signature,B1,noun,"امضاء, امضا",X,emzâ',اثرِ دست برای تایید سند,X,جعل کردن امضاءی مدیر روی چک، یک جرم بزرگ قانونی است.,Forging a manager's signature on a check is a major crime.,,
hope,A2,noun,امید,X,omid,حسِ خوب برای آینده,X,من هنوز امید دارم.,I still have hope.,,
pliers,B1,noun,انبردست,X,anbordast,ابزارِ گرفتن و بریدن سیم,X,سیم خیلی سفت است؛ از انبردست برای بریدن و خم کردن آن استفاده کن.,The wire is very stiff; use pliers to cut and bend it.,,
suicide,C,noun,انتحار,X,entehâr,کشتنِ خود,X,پرونده نشان می‌داد که انتحار نه از روی تصمیم ناگهانی، بلکه پس از ماه‌ها فشار روانی رخ داده است.,"The case showed that the suicide was not a sudden decision, but happened after months of psychological pressure.",,
suicidal,C,adjective,انتحاری,X,entehâri,مربوط به کشتنِ خود,X,روان‌پزشک در گزارش نوشت که افکار انتحاری او جدی است و باید فوراً تحت مراقبت قرار گیرد.,"In the report, the psychiatrist wrote that his suicidal thoughts are serious and that he must be placed under care immediately.",,
"human being, person, human",A2,noun,انسان,X,ensân,موجودی که فکر می‌کند و حرف می‌زند,X,انسان همیشه اشتباه می‌کند.,Human beings always make mistakes.,,
anthropology,C,noun,انسان‌شناسی,X,ensân-šenâsi,دانشِ مطالعهٔ انسان و فرهنگ‌ها,X,انسان‌شناسی به من یاد داد عادی همیشه محلی است، نه جهانی.,"Anthropology taught me that normal is always local, not universal.",,Duplicate
human,B1,adjective,انسانی,X,ensâni,مربوط به انسان,X,کمک کردن به دیگران یک رفتار انسانی است، حتی وقتی کسی از تو تشکر نمی‌کند.,"Helping others is a human act, even when no one thanks you.",,
"change, revolution",B1,noun,انقلاب,X,enqelâb,دگرگونیِ شدید در جامعه و سیاست,X,انقلاب در چند ماه همه‌چیز را عوض کرد.,The revolution changed everything in a few months.,,
revolutionary,B2,adjective,انقلابی,X,enqelâbi,مربوط به انقلاب,X,او در سخنرانی‌اش از انقلابی بودنِ روش‌ها حرف زد، نه فقط تغییرهای کوچک و آرام.,"In his speech, he talked about the revolutionary nature of the methods, not just small, calm changes.",,
finger,A1,noun,انگشت,X,angošt,یکی از بخش‌های دست,X,انگشت من درد می‌کند چون در را بستم.,My finger hurts because I closed the door.,,
toe,A2,noun,انگشت پا,X,angošt-e pâ,انگشتِ کوچکِ پا,X,انگشت پای من درد می‌کند.,My toe hurts.,,
English,A1,noun,انگلیسی,X,engelisi,زبانِ رسمیِ بریتانیا و چند کشور دیگر,X,من انگلیسی می‌خوانم تا کار پیدا کنم.,I study English so I can find a job.,,
English,A1,adjective,انگلیسی,X,englisi,مربوط به انگلستان یا زبانِ آن,X,این کتاب انگلیسی است.,This book is in English.,,
grape,A1,noun,انگور,X,angur,میوه‌ای کوچک که به خوشه رشد می‌کند,X,انگور را می‌شویم و می‌خورم.,I wash the grapes and eat them.,,
"he, she, it",A1,pronoun,او,X,u,ضمیر برای یک نفر یا یک چیز,X,او اینجا، جلوی در است.,"He is here, in front of the door.",,
Ukraine,A2,noun,اوکراین,X,okrâyn,کشوری در شرقِ اروپا,X,او از اوکراین آمده است.,He came from Ukraine.,,
first,A2,adjective,اول,X,avval,شمارهٔ یک در ترتیب,X,او شاگرد اول کلاس است.,He is a first-grade student.,,
